Name,Age,Shoe,Siblings,SleepHours,Temperature,Pets,Extrovert,Cook,Spicey,Restaurants,SpendMoney,PhoneMinutes,PhoneApps,Photos,Facebook,PCvMac,CS,Books,DistanceBorn,Countries,States,PlacesLived,Camping,JobYears,Publications
Sangeetha,24,6,1,7,75,45,45,69,75,3,40,4000,70,961,400,54,100,7,8699,3,2,3,5,2,0
Gracie,23,7.5,2,7,65,100,5,60,15,2,15,330,20,753,52,35,100,12,450,6,14,3,8,4,3
Testing123,25,10,1,5,77,1,90,60,60,4,90,450,17,500,600,95,90,3,7657,3,1,3,5,2,3
Guangyue,29,8.5,0,7,78,70,40,40,1,15,50,400,20,500,50,50,50,2,7083,3,10,3,0,7,2
Harsh,22,8,1,8,80,75,75,80,80,2,50,900,68,1000,450,50,80,2,12000,1,1,2,0,0,1
Peng,28,8.5,0,7,70,80,30,80,50,10,20,180,30,200,300,90,100,2,7000,1,11,3,0,2,7
Anonymous1,26,9,1,8,68,24,24,84,88,6,44,7200,48,4404,458,32,88,0,8500,2,5,14,1,4,0
Ambika,25,5,1,8,40,50,80,90,80,10,60,500,15,250,900,80,90,3,8680,1,7,2,2,2,1
Shahin,39,12,1,7,70,20,30,30,40,10,30,300,60,100,130,30,70,2,5910,5,1,4,0,13,0
Jagathshree,24,6.5,1,7,73,30,50,70,70,2,70,1800,96,200,428,1,90,0,8735,3,5,7,200,2,0
Anonymous2,31,9.5,0,6.5,68,95,50,60,30,15,60,120,20,200,284,10,100,0,7500,8,12,2,0,6,16
Audrey,22,6,1,7,75,100,25,75,60,30,40,10,170,550,1035,25,90,1,620,1,20,2,3,0,0
Jing,30,7,0,8,72,60,45,80,10,15,40,500,22,200,0,60,60,0,7245,2,7,4,2,6,1
Abhishek,25,8,1,6,70,60,70,70,70,10,90,1000,30,200,800,1,70,3,10000,2,4,7,30,2,0
Gustavo,27,8.5,3,7,80,80,45,65,1,6,45,100,8,250,300,50,100,0,1000,3,3,5,2,4,10
Anonymous3,25,10,1,7,75,50,50,1,1,3,50,80,30,10,300,50,90,0,300,5,8,5,3,1,0
Andrew,22,10,1,6,70,85,35,45,65,12,26.5,75,35,400,255,35,100,5,600,11,26,12,10,2,1
Michelle,23,7.5,1,6,77,85,40,75,50,4,25,80,18,2500,118,80,70,5,2700,3,11,4,33,6,0
T.C.,27,12,2,6,70,80,40,80,1,27,40,400,50,20,800,1,100,7,174,2,12,2,30,3,1
Anonymous4,25,10,1,6,80,50,50,100,50,10,50,300,15,150,500,50,100,5,8500,1,6,4,50,2.5,1
Rachel,21,7,1,6,85,40,90,90,1,12,40,3000,30,5000,400,20,70,4,1300,26,23,4,0,1,0
Rathna,27,7,1,7,70,60,50,75,65,16,55,900,50,150,583,50,90,5.5,8500,5,3,7,2,4.5,0
Anonymous5,23,9,0,6,23,50,70,60,75,20,70,60,61,1000,155,70,75,0,6997.261,1,1,9,0,1,2
Radha,22,8,2,7,80,25,75,90,85,1,10,1800,12,200,836,25,100,2,8000,3,1,3,3,1,2
Taylor,21,11.5,1,7,30,72,14,23,83,9,4,65,91,15,263,3,94,4,213.38,1,7,3,150,3,0
Adam,23,10,1,8,80,50,20,95,1,15,15,60,100,100,670,1,70,0,250,10,20,3,2,3,0
Moeti,36,11,6,7,78,90,50,70,20,3,49,1800,40,4000,250,60,95,8,4153,8,31,7,6,8,3
Tomilayo,27,10.5,3,7,77,75,80,60,89,5,50,800,60,201,600,15,50,4,3009,3,11,6,4,5,0
Derek,26,10,2,7,80,58,25,49,25,14,19,249,49,397,806,1,50,2,300,10,19,1,8,3,0
Radha,22,9,2,7,80,25,75,90,85,1,10,1800,12,200,836,10,100,2,8736,3,1,3,3,1,2
Dave,24,11.5,2,7,70,75,80,85,60,5,15,120,35,500,383,25,25,20,575,7,36,6,250,3,0
Tianyi,23,7.5,0,7,80,50,60,60,50,7,40,800,40,1600,500,80,85,5,7086.12,4,6,5,9,0,0
Chris,45,12,2,9,75,10,20,2,25,30,40,60,50,880,5,99,90,4,300,8,48,9,100,20,100
